sample_index,zip_path,crossings,time_seconds,return_code,status,timed_out,resource_limited,final_crossings,final_pd_code,mid_simplification_rounds,heuristic_failover_rounds,reidemeister_i_moves,reidemeister_ii_moves,reidemeister_iii_moves,nugatory_crossing_moves,tested_red_paths,tested_green_paths,last_path_search_mode,error
1,pd_code/data.random_knot_4570,307,4.668080099989311,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",0,0,74,115,19,0,36,150,bruteforce,
2,pd_code/data.random_knot_3566,323,1.1192171000002418,0,ok,False,False,0,PD[],0,0,70,126,15,1,0,0,bruteforce,
3,pd_code/data.random_knot_4114,307,23.778615899995202,0,ok,False,False,9,"PD[X[1,4,2,5],X[3,18,4,1],X[5,2,6,3],X[6,10,7,9],X[8,12,9,11],X[10,8,11,7],X[12,15,13,16],X[14,17,15,18],X[16,13,17,14]]",0,0,68,113,10,4,31247,311565,bruteforce,
4,pd_code/data.random_knot_1299,165,0.1587615000025835,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",0,0,66,48,0,0,36,150,bruteforce,
5,pd_code/data.random_knot_4,305,1.5551945999905001,0,ok,False,False,0,PD[],0,0,78,113,19,1,0,0,bruteforce,
6,pd_code/data.random_knot_3058,184,0.19197250000433996,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",0,0,73,54,0,0,36,150,bruteforce,
7,pd_code/data.random_knot_1850,265,46.326522799994564,0,ok,False,False,6,"PD[X[1,5,2,4],X[3,7,4,6],X[5,3,6,2],X[8,12,9,11],X[10,8,11,7],X[12,10,1,9]]",0,0,69,94,6,2,29363,406582,bruteforce,
8,pd_code/data.random_knot_2411,230,0.295369400002528,0,ok,False,False,0,PD[],0,0,82,74,1,0,0,0,bruteforce,
9,pd_code/data.random_knot_1197,174,0.15913329999602865,0,ok,False,False,0,PD[],0,0,64,55,1,0,0,0,bruteforce,
10,pd_code/data.random_knot_2160,235,0.3534361999918474,0,ok,False,False,0,PD[],0,0,87,74,9,0,0,0,bruteforce,
11,pd_code/data.random_knot_3690,186,0.19627179999952205,0,ok,False,False,0,PD[],0,0,62,62,1,0,0,0,bruteforce,
12,pd_code/data.random_knot_2254,204,0.24236649999511428,0,ok,False,False,0,PD[],0,0,68,68,6,0,0,0,bruteforce,
13,pd_code/data.random_knot_1789,280,0.5677358000102686,0,ok,False,False,0,PD[],0,0,65,107,7,1,0,0,bruteforce,
14,pd_code/data.random_knot_4629,202,0.22456710001279134,0,ok,False,False,0,PD[],0,0,70,66,0,0,0,0,bruteforce,
15,pd_code/data.random_knot_3013,184,0.20685149999917485,0,ok,False,False,0,PD[],0,0,56,63,4,2,0,0,bruteforce,
16,pd_code/data.random_knot_937,292,3.281571300001815,0,ok,False,False,0,PD[],0,0,79,106,26,1,0,0,bruteforce,
17,pd_code/data.random_knot_2053,325,0.8148983999999473,0,ok,False,False,0,PD[],0,0,79,123,8,0,0,0,bruteforce,
18,pd_code/data.random_knot_4167,226,29.299406699996325,0,ok,False,False,10,"PD[X[2,8,3,7],X[4,18,5,17],X[6,14,7,13],X[8,2,9,1],X[11,19,12,18],X[12,6,13,5],X[15,11,16,10],X[16,4,17,3],X[19,15,20,14],X[20,10,1,9]]",0,0,59,78,12,1,24999,494861,bruteforce,
19,pd_code/data.random_knot_4147,276,1.0398022000008496,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",0,0,71,101,17,0,36,150,bruteforce,
20,pd_code/data.random_knot_907,208,0.2595333000062965,0,ok,False,False,0,PD[],0,0,78,65,2,0,0,0,bruteforce,
21,pd_code/data.random_knot_3004,201,0.2218437000119593,0,ok,False,False,0,PD[],0,0,87,57,2,0,0,0,bruteforce,
22,pd_code/data.random_knot_4873,240,0.3626845999970101,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",0,0,83,77,7,0,36,150,bruteforce,
23,pd_code/data.random_knot_538,206,0.24077309999847785,0,ok,False,False,0,PD[],0,0,75,65,3,1,0,0,bruteforce,
24,pd_code/data.random_knot_2677,188,0.23235030000796542,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",0,0,64,60,6,1,36,150,bruteforce,
25,pd_code/data.random_knot_4138,368,28.3454963999975,0,ok,False,False,6,"PD[X[1,7,2,6],X[3,9,4,8],X[5,10,6,11],X[7,3,8,2],X[9,1,10,12],X[11,4,12,5]]",0,0,84,139,26,0,26013,374199,bruteforce,
26,pd_code/data.random_knot_4798,259,0.42033229999651667,0,ok,False,False,0,PD[],0,0,76,91,4,1,0,0,bruteforce,
27,pd_code/data.random_knot_102,199,0.2155168000026606,0,ok,False,False,0,PD[],0,0,77,61,1,0,0,0,bruteforce,
28,pd_code/data.random_knot_3174,312,0.56577849999303,0,ok,False,False,0,PD[],0,0,81,115,5,1,0,0,bruteforce,
29,pd_code/data.random_knot_810,256,37.11973019999277,0,ok,False,False,5,"PD[X[1,6,2,7],X[3,8,4,9],X[5,10,6,1],X[7,4,8,5],X[9,2,10,3]]",0,0,76,87,5,1,28372,410257,bruteforce,
30,pd_code/data.random_knot_835,196,28.00278989999788,0,ok,False,False,11,"PD[X[1,10,2,11],X[3,15,4,14],X[5,1,6,22],X[6,11,7,12],X[8,13,9,14],X[9,2,10,3],X[12,7,13,8],X[15,5,16,4],X[16,20,17,19],X[18,22,19,21],X[20,18,21,17]]",0,0,72,56,4,1,19194,295331,bruteforce,
31,pd_code/data.random_knot_369,217,26.853883500007214,0,ok,False,False,6,"PD[X[1,8,2,9],X[3,11,4,10],X[5,1,6,12],X[7,2,8,3],X[9,7,10,6],X[11,5,12,4]]",0,0,59,76,4,0,25928,374498,bruteforce,
32,pd_code/data.random_knot_3397,175,0.1706858999968972,0,ok,False,False,0,PD[],0,0,65,55,1,0,0,0,bruteforce,
33,pd_code/data.random_knot_2218,232,0.2748689000000013,0,ok,False,False,0,PD[],0,0,80,76,0,0,0,0,bruteforce,
34,pd_code/data.random_knot_4337,227,0.40094229999522213,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",0,0,67,78,7,1,36,150,bruteforce,
35,pd_code/data.random_knot_3532,296,0.6115176000021165,0,ok,False,False,0,PD[],0,0,86,105,10,0,0,0,bruteforce,
36,pd_code/data.random_knot_2019,265,0.40126129999407567,0,ok,False,False,0,PD[],0,0,83,91,2,0,0,0,bruteforce,
37,pd_code/data.random_knot_1525,205,0.23718389999703504,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",0,0,78,62,2,0,36,150,bruteforce,
38,pd_code/data.random_knot_4687,257,0.39339369999652263,0,ok,False,False,0,PD[],0,0,81,88,6,0,0,0,bruteforce,
39,pd_code/data.random_knot_2624,191,0.2025075999990804,0,ok,False,False,0,PD[],0,0,61,65,1,0,0,0,bruteforce,
40,pd_code/data.random_knot_1124,252,0.45057770000130404,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",0,0,74,87,8,1,36,150,bruteforce,
41,pd_code/data.random_knot_1571,282,0.5793342999968445,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",0,0,81,99,10,0,36,150,bruteforce,
42,pd_code/data.random_knot_2148,174,0.16544470000371803,0,ok,False,False,0,PD[],0,0,74,50,2,0,0,0,bruteforce,
43,pd_code/data.random_knot_4406,186,42.68647950000013,0,ok,False,False,6,"PD[X[1,5,2,4],X[3,1,4,12],X[5,3,6,2],X[6,10,7,9],X[8,12,9,11],X[10,8,11,7]]",0,0,76,52,1,0,28207,387471,bruteforce,
44,pd_code/data.random_knot_2043,283,0.7387438000005204,0,ok,False,False,3,"PD[X[2,6,3,5],X[4,2,5,1],X[6,4,1,3]]",0,0,65,107,10,1,48,216,bruteforce,
45,pd_code/data.random_knot_4374,358,2.472616300001391,0,ok,False,False,0,PD[],0,0,71,143,21,1,0,0,bruteforce,
46,pd_code/data.random_knot_3152,129,0.09304779999365564,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",0,0,58,34,0,0,36,150,bruteforce,
47,pd_code/data.random_knot_213,202,0.21495219999633264,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",0,0,69,65,1,0,36,150,bruteforce,
48,pd_code/data.random_knot_4269,195,0.21352309999929275,0,ok,False,False,0,PD[],0,0,65,65,2,0,0,0,bruteforce,
49,pd_code/data.random_knot_3677,258,1.0230948999960674,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",0,0,77,89,18,0,36,150,bruteforce,
50,pd_code/data.random_knot_2654,305,1.8863855999952648,0,ok,False,False,0,PD[],0,0,71,117,18,0,0,0,bruteforce,
51,pd_code/data.random_knot_633,273,0.4369122999924002,0,ok,False,False,0,PD[],0,0,59,107,4,0,0,0,bruteforce,
52,pd_code/data.random_knot_3460,240,45.9883317000058,0,ok,False,False,6,"PD[X[1,5,2,4],X[3,7,4,6],X[5,3,6,2],X[8,12,9,11],X[10,8,11,7],X[12,10,1,9]]",0,0,60,87,7,0,29363,406582,bruteforce,
53,pd_code/data.random_knot_1971,200,42.60973210001248,0,ok,False,False,6,"PD[X[1,5,2,4],X[3,1,4,12],X[5,9,6,8],X[7,11,8,10],X[9,7,10,6],X[11,3,12,2]]",0,0,54,70,5,0,28024,382095,bruteforce,
54,pd_code/data.random_knot_3535,198,0.21799839999584947,0,ok,False,False,0,PD[],0,0,82,58,0,0,0,0,bruteforce,
55,pd_code/data.random_knot_3295,227,0.29711269999097567,0,ok,False,False,0,PD[],0,0,70,77,2,3,0,0,bruteforce,
56,pd_code/data.random_knot_864,230,0.30213690000528004,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",0,0,67,80,2,0,36,150,bruteforce,
57,pd_code/data.random_knot_930,386,10.660064099996816,0,ok,False,False,0,PD[],0,0,77,154,32,1,0,0,bruteforce,
58,pd_code/data.random_knot_480,249,45.03636519999418,0,ok,False,False,6,"PD[X[1,4,2,5],X[3,12,4,1],X[5,2,6,3],X[6,9,7,10],X[8,11,9,12],X[10,7,11,8]]",0,0,68,87,3,1,28990,396805,bruteforce,
59,pd_code/data.random_knot_1780,195,0.1935036999930162,0,ok,False,False,0,PD[],0,0,55,70,1,0,0,0,bruteforce,
60,pd_code/data.random_knot_1262,299,31.3239792999957,0,ok,False,False,8,"PD[X[1,15,2,14],X[2,9,3,10],X[5,1,6,16],X[7,13,8,12],X[8,3,9,4],X[11,7,12,6],X[13,11,14,10],X[15,5,16,4]]",0,0,59,116,21,0,24110,381960,bruteforce,
61,pd_code/data.random_knot_158,202,0.22931700000481214,0,ok,False,False,0,PD[],0,0,54,74,0,0,0,0,bruteforce,
62,pd_code/data.random_knot_3299,273,0.41671030000725295,0,ok,False,False,0,PD[],0,0,82,95,2,1,0,0,bruteforce,
63,pd_code/data.random_knot_587,255,21.58091279999644,0,ok,False,False,8,"PD[X[1,5,2,4],X[3,1,4,16],X[6,9,7,10],X[8,13,9,14],X[10,5,11,6],X[12,7,13,8],X[14,11,15,12],X[15,3,16,2]]",0,0,77,85,4,0,23637,296896,bruteforce,
64,pd_code/data.random_knot_4517,217,0.3525764999940293,0,ok,False,False,0,PD[],0,0,77,70,10,0,0,0,bruteforce,
65,pd_code/data.random_knot_4695,264,1.1400890999939293,0,ok,False,False,4,"PD[X[1,5,2,4],X[3,6,4,7],X[5,1,6,8],X[7,2,8,3]]",0,0,56,102,20,0,80,432,bruteforce,
66,pd_code/data.random_knot_1945,215,0.27648790000239387,0,ok,False,False,0,PD[],0,0,79,68,5,0,0,0,bruteforce,
67,pd_code/data.random_knot_2238,253,0.44392550000338815,0,ok,False,False,0,PD[],0,0,81,86,6,0,0,0,bruteforce,
68,pd_code/data.random_knot_521,234,0.35311310000543017,0,ok,False,False,0,PD[],0,0,68,83,5,0,0,0,bruteforce,
69,pd_code/data.random_knot_3007,325,4.475303900006111,0,ok,False,False,4,"PD[X[2,5,3,6],X[4,8,5,7],X[6,1,7,2],X[8,4,1,3]]",0,0,67,126,25,2,100,584,bruteforce,
70,pd_code/data.random_knot_1084,209,0.24618859999463893,0,ok,False,False,0,PD[],0,0,75,67,3,0,0,0,bruteforce,
71,pd_code/data.random_knot_3432,376,73.55166470000404,0,ok,False,False,15,"PD[X[1,29,2,28],X[3,23,4,22],X[4,9,5,10],X[6,14,7,13],X[8,24,9,23],X[10,18,11,17],X[12,19,13,20],X[14,6,15,5],X[16,12,17,11],X[18,15,19,16],X[21,27,22,26],X[24,8,25,7],X[25,21,26,20],X[27,1,28,30],X[29,3,30,2]]",2,0,62,147,55,0,27089,662127,bruteforce,
72,pd_code/data.random_knot_3639,308,32.04679550000583,0,ok,False,False,8,"PD[X[1,6,2,7],X[4,15,5,16],X[5,13,6,12],X[7,2,8,3],X[8,13,9,14],X[10,4,11,3],X[11,16,12,1],X[14,9,15,10]]",1,0,60,118,20,3,24523,390063,bruteforce,
73,pd_code/data.random_knot_1865,281,0.4573709000105737,0,ok,False,False,0,PD[],0,0,78,101,4,1,0,0,bruteforce,
74,pd_code/data.random_knot_447,172,0.16189839999424294,0,ok,False,False,0,PD[],0,0,68,52,2,0,0,0,bruteforce,
75,pd_code/data.random_knot_1412,301,0.8760503000085009,0,ok,False,False,0,PD[],0,0,72,114,9,1,0,0,bruteforce,
76,pd_code/data.random_knot_2664,215,0.2874902000039583,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",0,0,65,71,4,5,36,150,bruteforce,
77,pd_code/data.random_knot_1424,397,58.77737149999302,0,ok,False,False,5,"PD[X[1,6,2,7],X[3,8,4,9],X[5,10,6,1],X[7,2,8,3],X[9,4,10,5]]",0,0,64,164,56,0,27155,413790,bruteforce,
78,pd_code/data.random_knot_3089,193,0.20437820001097862,0,ok,False,False,0,PD[],0,0,65,64,2,0,0,0,bruteforce,
79,pd_code/data.random_knot_747,371,1.955576000007568,0,ok,False,False,0,PD[],0,0,79,146,18,0,0,0,bruteforce,
80,pd_code/data.random_knot_3392,295,0.8364376999961678,0,ok,False,False,0,PD[],0,0,73,111,14,0,0,0,bruteforce,
81,pd_code/data.random_knot_1680,220,0.25994139999966137,0,ok,False,False,3,"PD[X[2,6,3,5],X[4,2,5,1],X[6,4,1,3]]",0,0,77,70,7,0,48,216,bruteforce,
82,pd_code/data.random_knot_328,200,0.22053979999327566,0,ok,False,False,0,PD[],0,0,76,62,2,0,0,0,bruteforce,
83,pd_code/data.random_knot_2290,244,0.42589839998981915,0,ok,False,False,0,PD[],0,0,68,88,8,0,0,0,bruteforce,
84,pd_code/data.random_knot_2834,248,36.88260390001233,0,ok,False,False,5,"PD[X[2,7,3,8],X[4,1,5,2],X[6,9,7,10],X[8,3,9,4],X[10,5,1,6]]",0,0,64,89,12,1,28206,405821,bruteforce,
85,pd_code/data.random_knot_4900,206,0.24382440000772476,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",0,0,82,60,4,1,36,150,bruteforce,
86,pd_code/data.random_knot_2081,232,0.767406300001312,0,ok,False,False,0,PD[],0,0,68,82,24,0,0,0,bruteforce,
87,pd_code/data.random_knot_1937,299,43.729417399998056,0,ok,False,False,6,"PD[X[1,5,2,4],X[3,1,4,12],X[5,3,6,2],X[6,10,7,9],X[8,12,9,11],X[10,8,11,7]]",0,0,52,117,22,7,28207,387471,bruteforce,
88,pd_code/data.random_knot_353,304,2.0186967000045115,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",0,0,78,111,25,1,36,150,bruteforce,
89,pd_code/data.random_knot_1125,164,0.14793229999486357,0,ok,False,False,0,PD[],0,0,70,47,1,0,0,0,bruteforce,
90,pd_code/data.random_knot_2909,243,0.46181999999680556,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",0,0,78,80,12,2,36,150,bruteforce,
91,pd_code/data.random_knot_4205,252,0.4465226000029361,0,ok,False,False,0,PD[],0,0,71,90,6,1,0,0,bruteforce,
92,pd_code/data.random_knot_2801,259,0.3102989999897545,0,ok,False,False,4,"PD[X[1,5,2,4],X[3,6,4,7],X[5,1,6,8],X[7,2,8,3]]",0,0,61,97,5,0,80,432,bruteforce,
93,pd_code/data.random_knot_1178,235,26.356664099992486,0,ok,False,False,7,"PD[X[1,4,2,5],X[3,13,4,12],X[5,14,6,1],X[6,9,7,10],X[8,11,9,12],X[10,7,11,8],X[13,3,14,2]]",0,0,49,87,8,5,26959,307380,bruteforce,
94,pd_code/data.random_knot_4711,306,1.0509514000004856,0,ok,False,False,0,PD[],0,0,78,114,14,0,0,0,bruteforce,
95,pd_code/data.random_knot_3467,211,0.29697029999806546,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",0,0,60,74,9,0,36,150,bruteforce,
96,pd_code/data.random_knot_2109,287,1.2922423999989405,0,ok,False,False,4,"PD[X[1,5,2,4],X[3,6,4,7],X[5,1,6,8],X[7,2,8,3]]",0,0,63,110,18,0,80,432,bruteforce,
97,pd_code/data.random_knot_4031,162,0.1456097000045702,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",0,0,73,43,2,0,36,150,bruteforce,
98,pd_code/data.random_knot_1132,305,0.6266001000039978,0,ok,False,False,4,"PD[X[1,6,2,7],X[3,1,4,8],X[5,2,6,3],X[7,5,8,4]]",0,0,75,113,6,0,80,432,bruteforce,
