case,family,mode,repeat,input_crossings,output_crossings,reduction_crossings,reduction_percent,time_seconds,return_code,timed_out,simplification_found,tested_red_paths,tested_green_paths,mid_simplification_rounds,heuristic_failover_rounds,last_path_search_mode
zip_random_01,zip random sample,heuristic,1,142,86,56,39.436619718309856,0.2593549999874085,0,False,True,6,53,3,0,heuristic
zip_random_01,zip random sample,bruteforce,1,142,89,53,37.32394366197183,0.2980490999761969,0,False,True,6,114,3,0,bruteforce
zip_random_02,zip random sample,heuristic,1,144,101,43,29.86111111111111,0.4208661001175642,0,False,True,6,123,3,0,heuristic
zip_random_02,zip random sample,bruteforce,1,144,101,43,29.86111111111111,0.7401924000587314,0,False,True,6,487,3,0,bruteforce
zip_random_03,zip random sample,heuristic,1,120,64,56,46.666666666666664,3.4672373000066727,0,False,True,59,5852,3,0,heuristic
zip_random_03,zip random sample,bruteforce,1,120,73,47,39.166666666666664,0.2892066999338567,0,False,True,15,213,3,0,bruteforce
zip_random_04,zip random sample,heuristic,1,135,90,45,33.333333333333336,0.6957679998595268,0,False,True,10,489,3,0,heuristic
zip_random_04,zip random sample,bruteforce,1,135,135,0,0.0,60.0,-1,True,False,0,0,0,0,
zip_random_05,zip random sample,heuristic,1,123,73,50,40.65040650406504,0.37306630006060004,0,False,True,6,70,3,0,heuristic
zip_random_05,zip random sample,bruteforce,1,123,75,48,39.02439024390244,1.962250899989158,0,False,True,33,3221,3,0,bruteforce
zip_random_06,zip random sample,heuristic,1,141,83,58,41.13475177304964,1.311107600107789,0,False,True,8,1198,3,0,heuristic
zip_random_06,zip random sample,bruteforce,1,141,141,0,0.0,60.0,-1,True,False,0,0,0,0,
zip_random_07,zip random sample,heuristic,1,147,79,68,46.25850340136054,0.5079607998486608,0,False,True,7,350,3,0,heuristic
zip_random_07,zip random sample,bruteforce,1,147,88,59,40.136054421768705,12.089991600019857,0,False,True,6,18201,3,0,bruteforce
zip_random_08,zip random sample,heuristic,1,132,81,51,38.63636363636363,0.3147939001210034,0,False,True,12,59,3,0,heuristic
zip_random_08,zip random sample,bruteforce,1,132,81,51,38.63636363636363,0.3242772000376135,0,False,True,12,72,3,0,bruteforce
zip_random_09,zip random sample,heuristic,1,150,88,62,41.333333333333336,1.9570998998824507,0,False,True,25,1712,3,0,heuristic
zip_random_09,zip random sample,bruteforce,1,150,77,73,48.666666666666664,54.83230170002207,0,False,True,25,66557,3,0,bruteforce
zip_random_10,zip random sample,heuristic,1,139,79,60,43.16546762589928,0.4295004999730736,0,False,True,10,275,3,0,heuristic
zip_random_10,zip random sample,bruteforce,1,139,76,63,45.32374100719424,0.9134450000710785,0,False,True,22,1248,3,0,bruteforce
